space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,quote_volume,funding_rate
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T10:00:00Z,venue:binance,0.851,0.854,0.849,0.85,1236848.6,1052185.1262,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T11:00:00Z,venue:binance,0.851,0.853,0.848,0.851,907420.6,771320.5377,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T12:00:00Z,venue:binance,0.851,0.864,0.849,0.862,4088112.5,3498679.1829,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T13:00:00Z,venue:binance,0.862,0.868,0.856,0.86,5290376.2,4564372.7495,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T14:00:00Z,venue:binance,0.86,0.862,0.854,0.859,1999627.4,1716531.9199,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T15:00:00Z,venue:binance,0.859,0.86,0.854,0.856,2085026.3,1787090.2635,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T16:00:00Z,venue:binance,0.855,0.856,0.841,0.848,6531720.2,5533732.604,0.0001
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T17:00:00Z,venue:binance,0.847,0.854,0.846,0.854,1602034.5,1361276.662,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T18:00:00Z,venue:binance,0.854,0.857,0.851,0.853,1599902.3,1366363.2514,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T19:00:00Z,venue:binance,0.853,0.857,0.837,0.84,3716701.6,3137920.9031,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T20:00:00Z,venue:binance,0.839,0.848,0.839,0.845,1797007.2,1516932.3714,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T21:00:00Z,venue:binance,0.845,0.847,0.844,0.845,963215.5,814153.939,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T22:00:00Z,venue:binance,0.845,0.85,0.845,0.846,1162761.3,984616.0317,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T23:00:00Z,venue:binance,0.846,0.848,0.844,0.847,714286.1,604685.2031,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T00:00:00Z,venue:binance,1891.12,1892.5,1877.02,1880.71,139598.737,262804627.78461,3.834e-05
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T01:00:00Z,venue:binance,1880.7,1881.24,1865.59,1869.33,164176.284,307250261.38677,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T02:00:00Z,venue:binance,1869.34,1872.36,1863.32,1863.62,89162.98,166457145.57563,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T03:00:00Z,venue:binance,1863.63,1878.33,1863.5,1875.32,116310.434,217671709.54207,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T04:00:00Z,venue:binance,1875.31,1879.85,1872.38,1875.65,73548.757,138003809.88202,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T05:00:00Z,venue:binance,1875.65,1882.86,1870.53,1881.71,89876.568,168566307.73787,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T06:00:00Z,venue:binance,1881.72,1891.54,1874.16,1874.82,243302.098,458572724.16458,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T07:00:00Z,venue:binance,1874.81,1876.37,1863.57,1869.13,198028.788,370203026.49233,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T08:00:00Z,venue:binance,1869.13,1878.9,1869.08,1878.29,91108.831,170785988.70624,5.006e-05
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T09:00:00Z,venue:binance,1878.3,1885.66,1878.09,1879.08,120807.873,227283237.25262,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T10:00:00Z,venue:binance,1879.08,1885.63,1874.0,1877.17,91050.265,171118996.06864,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T11:00:00Z,venue:binance,1877.17,1885.0,1876.51,1883.64,78897.15,148387994.09396,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T12:00:00Z,venue:binance,1883.63,1929.75,1878.47,1926.73,730267.548,1392166107.13953,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T13:00:00Z,venue:binance,1926.73,1946.75,1916.4,1924.7,911972.327,1763310131.09962,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T14:00:00Z,venue:binance,1924.7,1934.87,1918.16,1932.48,339456.697,654551311.31118,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T15:00:00Z,venue:binance,1932.48,1938.0,1924.67,1930.97,208421.589,402640431.40307,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T16:00:00Z,venue:binance,1930.97,1932.09,1903.37,1918.82,381316.986,730414602.96937,8.736e-05
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T17:00:00Z,venue:binance,1918.83,1930.8,1918.52,1927.18,153939.536,296102492.24437,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T18:00:00Z,venue:binance,1927.19,1936.51,1921.88,1923.82,168983.458,326161833.15761,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T19:00:00Z,venue:binance,1923.81,1928.47,1918.2,1923.2,106273.02,204430406.28464,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T20:00:00Z,venue:binance,1923.2,1930.0,1918.64,1922.65,63674.742,122504105.9274,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T21:00:00Z,venue:binance,1922.66,1924.99,1918.67,1921.29,35622.004,68451132.57941,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T22:00:00Z,venue:binance,1921.28,1927.34,1917.3,1922.46,73439.19499999999,141190570.67089,
crypto_market,perpetual_kline_1h,ETH-USDT,1H,2026-07-15T23:00:00Z,venue:binance,1922.47,1926.28,1913.91,1916.91,83112.091,159434449.7401,
crypto_market,perpetual_kline_1h,LINK-USDT,1H,2026-07-15T00:00:00Z,venue:binance,8.343,8.355,8.302,8.35,301423.48,2509677.3697,0.0001
crypto_market,perpetual_kline_1h,LINK-USDT,1H,2026-07-15T01:00:00Z,venue:binance,8.351,8.353,8.302,8.31,272588.05,2269013.54081,
